ip216	,12550.000000,50200
ip217	,12550.000000,62750
ip218	,107712.000000,107712
ip219	,81083.000000,81083
ip220	,81083.000000,81083
ip221	,54055.332031,162166
ip222	,1134786.500000,2269573
ip223	,12550.000000,12550
ip224	,22418.099609,224181
ip225	,2910.666748,26196
ip226	,31679.000000,316790
ip227	,81083.000000,81083
ip228	,81083.000000,81083
ip229	,6418.500000,12837
ip230	,8681.111328,78130
ip231	,20084.000000,80336
ip232	,297.500000,595
ip233	,12550.000000,37650
ip234	,12550.000000,25100
ip235	,8462.000000,50772
ip236	,100235.000000,100235
ip237	,12550.000000,12550
ip238	,33874.601563,338746
ip239	,22730.800781,454616
ip240	,11715.000000,11715
ip241	,145738.250000,582953
ip242	,95.333336,286
ip243	,6412.000000,102592
ip244	,81083.000000,81083
ip245	,20734.166016,373215
ip246	,81083.000000,81083
ip247	,2033.400024,10167
ip248	,106253.664063,318761
ip249	,107609.750000,430439
ip250	,107609.750000,430439
ip251	,10050.666992,30152
ip252	,10098.833008,60593
ip253	,104535.250000,418141
ip254	,42217.332031,506608
ip255	,0.000000,0
ip256	,117492.000000,117492
ip257	,12550.000000,25100
ip258	,15384.857422,107694
ip259	,1370.666626,4112
ip260	,24368.052734,462993
ip261	,286.000000,286
ip262	,85179.835938,511079
ip263	,5694994.000000,5694994
ip264	,3619.750000,14479
ip265	,30824.000000,339064
ip266	,4633.333496,13900
ip267	,9315.286133,65207
ip268	,81083.000000,81083
ip269	,9829.500000,19659
ip270	,33874.601563,338746
ip271	,12550.000000,12550
ip272	,109331.000000,109331
ip273	,1370.666626,8224
ip274	,81083.000000,81083
ip275	,12550.000000,25100
ip276	,21174.800781,211748
ip277	,6315.250000,25261
ip278	,33874.601563,338746
ip279	,12550.000000,37650
ip280	,12550.000000,25100
ip281	,90222.335938,270667
ip282	,59295.000000,59295
ip283	,4166.399902,41664
ip284	,294.500000,589
ip285	,17750.353516,1153773
ip286	,38496.000000,38496
ip287	,30824.000000,339064
ip288	,33874.601563,338746
ip289	,26892.076172,349597
ip290	,24500.000000,49000
